,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
82,Guatemala,101,Guatemala,988149.69,990749.91,992540.56,993552.17,993814.93,994077.89,994340.66,994603.66,994866.77,995129.95,995392.95
83,Guazacapán,611,Santa Rosa,14774.2868,14947.0214,15135.904,15336.1584,15543.1146,15752.2365,15966.2584,16187.8665,16412.5748,16635.9984,16853.8953
84,Huehuetenango,1301,Huehuetenango,105848.611,108461.228,111108.052,113755.98,116372.345,118924.659,121433.06,123917.82,126346.549,128687.29,130908.483
85,Huitán,915,Quetzaltenango,13633.1817,14104.9367,14593.6131,15096.4049,15610.3613,16132.3751,16664.5455,17209.0299,17762.6585,18322.0949,18883.8497
86,Huité,1910,Zacapa,9582.2322,9710.9141,9853.1758,10005.2173,10163.2402,10323.486,10488.3958,10660.4228,10835.7968,11010.7548,11181.5739
87,Ipala,2011,Chiquimula,19851.2579,19924.8506,20008.9915,20098.8444,20189.9052,20277.9642,20365.375,20454.3149,20540.7539,20620.9616,20691.4981
88,Ixcán,1420,Quiché,91210.207,94812.499,98543.05,102393.578,106355.712,110420.936,114595.494,118885.706,123282.814,127777.669,132360.972
89,Ixchiguán,1223,San Marcos,27171.3818,27994.7274,28852.338,29734.4102,30630.895,31531.4856,32442.9973,33372.4095,34309.3003,35242.9955,36162.608
90,Iztapa,510,Escuintla,11695.1024,11749.6464,11797.9831,11839.1352,11872.1769,11896.2913,11912.5063,11921.8163,11923.4059,11916.545,11900.5474
91,Jacaltenango,1307,Huehuetenango,42852.6336,43720.2524,44593.2525,45458.3241,46302.5062,47113.1388,47898.5887,48667.0513,49406.056,50103.505,50747.6208
92,Jalapa,2101,Jalapa,138739.632,142912.159,147265.619,151776.052,156419.277,161170.717,166047.733,171067.535,176205.529,181436.772,186736.277
93,Jalpatagua,2212,Jutiapa,36519.6539,13029.2339,25392.1462,25845.276,26317.1024,26797.9152,27293.7663,27810.658,28338.8761,28868.8227,29390.9734
94,Jeréz,2208,Jutiapa,7708.39709,2685.78187,5230.87073,5260.08215,5291.59305,5323.36629,5356.55716,5392.25727,5428.4901,5463.3922,5495.2103
95,Jocotán,2004,Chiquimula,53959.7014,55664.4054,57452.4461,59313.7399,61237.7822,63213.5942,65249.8328,67355.4461,69519.253,71729.649,73974.589
96,Jocotenango,302,Sacatepéquez,20356.525,20510.8766,20657.9114,20796.064,20923.9179,21040.1372,21145.897,21242.324,21328.1274,21402.0957,21463.1024
97,Joyabaj,1412,Quiché,74150.0144,76697.2472,79320.6557,82012.4651,84764.6135,87569.255,90430.3704,93351.8549,96325.771,99343.908,102398.298
98,Jutiapa,2201,Jutiapa,192522.534,73973.728,139342.46,143748.923,148354.603,153109.955,158053.99,163227.323,168579.136,174056.263,179603.275
99,La Blanca,1230,San Marcos,0,0,0,0,0,30537.9997,31524.2173,32534.4407,33558.3075,34585.4643,35605.1514
100,La Democracia,503,Escuintla,24226.2227,24835.6595,25446.4819,26056.0717,26661.7519,27260.8284,27854.7887,28445.1547,29029.2268,29604.2866,30167.5813
101,La Democracia,1312,Huehuetenango,43184.6332,43862.7033,44539.2387,45201.0132,45835.3135,46430.0053,46993.7854,47535.0217,48041.8654,48503.0093,48907.7096
102,La Esperanza,923,Quetzaltenango,24512.3334,25850.9456,27263.7741,28748.4703,30302.0521,31920.9254,33611.5595,35380.9716,37225.3993,39140.3202,41120.4475
103,La Gomera,507,Escuintla,58272.523,59293.4189,60299.165,61283.7205,62241.1344,53581.9985,54572.9919,55592.9989,56599.0007,57588.998,58422.003
104,La Libertad,1311,Huehuetenango,36527.5358,37362.9761,38207.0798,39048.4736,39875.9522,40678.4524,41463.0404,42236.6406,42988.3087,43707.3164,44383.1102
105,La Libertad,1705,Petén,109907.865,114072.847,118187.698,87979.973,90936.0033,93826.013,96691.96,99530.095,102345.907,105145.155,107933.657
106,La Reforma,1221,San Marcos,15314.2129,15410.0975,15511.5809,15612.793,15708.2157,15792.7475,15870.122,15943.8411,16008.9679,16060.916,16095.4533
107,La Unión,1909,Zacapa,28650.6983,29346.7249,30095.8508,30887.8685,31712.0904,32557.414,33432.1042,34344.7244,35283.9639,36238.0456,37194.7314
